id;trial;session;statement_set;statements;statement_type;factual_truth;responses;confidence;#Vp;#trial;cond;onset_trial;dur_trial
1;31;1;Set B;Tequila wird aus dem Herzen der roten Agave gewonnen.;0;false;1;4;1;31;2;620,06;8,06
1;32;1;Set A;Die Augen eines Straußes sind größer als sein Gehi;1;true;1;5;1;32;2;632,75;2,37
1;33;1;Set B;Sheryl Crow war Hürdenläuferi;0;true;0;1;1;33;2;639,44;4,81
1;34;1;Set A;Patagonien ist ein Landschaftsabschnitt in Asien.;1;false;0;6;1;34;2;647,15;2,71
1;35;1;Set B;Winston Churchill erhielt den Nobelpreis für Literatur;0;true;0;6;1;35;2;653,29;2,63
1;36;1;Set A;Die Slowakei gehört nicht zu den NATO-Staaten;1;false;0;5;1;36;2;659,17;4,39
1;37;1;Set A;Lybien ist das einzige Land mit einer einfarbigen Flagge.;1;true;0;6;1;37;2;668,1;5,4
1;38;1;Set B;Die längsten Opern stammen von Gioacchino Rossini;0;false;1;3;1;38;2;677,92;6,92
1;39;1;Set B;Nur Menschen und Affen besitzen einen Bauchnabel.;0;true;0;5;1;39;2;688,98;4,63
1;40;1;Set B;In den USA gibt es die meisten Milliardäre auf der Welt;0;false;1;3;1;40;2;697,8;8,75
1;41;1;Set A;Wenn Nilpferde sich aufregen, färbt sich ihr Schweiß gr�;1;false;0;2;1;41;2;713,18;3,49
1;42;1;Set A;Unsere Atmosphäre enthält rund 0,00025 % Ozo;1;false;1;4;1;42;2;721,18;3,35
1;43;1;Set B;Die kanadische Sängerin Celine Dion hat acht Geschwister;0;false;0;2;1;43;2;729,77;4,82
1;44;1;Set B;Der Schwertwal gehört zur Gattung der Delfine;0;true;1;6;1;44;2;738,39;-1
1;45;1;Set A;Austern wechseln je nach Jahreszeit ihr Geschlecht.;1;false;1;6;1;45;2;752,93;2,56
1;46;1;Set B;Albany ist die Hauptstadt des US-Bundesstaates New Jersey.;0;false;0;6;1;46;2;758,97;5,32
1;47;1;Set B;Der Speisesaal eines Klosters wird Refektorium genannt.;0;true;1;2;1;47;2;769,14;7,71
1;48;1;Set A;Der Maler Marc Chagall wurde 1887 in Russland geboren.;1;true;1;6;1;48;2;780,23;2,69
1;49;1;Set A;Freddie Mercurys richtiger Name lautete Farrokh Bulsara.;1;true;1;6;1;49;2;786,53;2,46
1;50;1;Set A;Brad Pitt heißt eigentlich 'Henry Bradley Pitt';1;false;1;5;1;50;2;792,03;3,2
1;51;1;Set A;Morpheus ist der griechische Gott der Träume;1;true;1;5;1;51;2;799,18;6,36
1;52;1;Set A;Es gibt 56 verschiedene Arten eine Krawatte zu binden.;1;false;1;3;1;52;2;809,19;3
1;53;1;Set B;Island ist geologisch das jüngste Inselland der Welt;0;true;1;5;1;53;2;816,45;4,4
1;54;1;Set B;Bob Dylan arbeitet nebenberuflich als Winzer.;0;true;1;3;1;54;2;825,78;3,69
1;55;1;Set B;Auf indischen Rupienscheinen sind 12 verschiedene Schriften.;0;false;1;5;1;55;2;833,92;4,2
1;56;1;Set A;Schlangen sind taub, da kein Außenohr vorhanden ist;1;true;1;4;1;56;2;842,11;6,16
1;57;1;Set B;Die erste elektronische Mail wurde im Jahr 1973 versendet.;0;false;0;4;1;57;2;854,3;7,68
1;58;1;Set B;Schären sind Talgletscher in Skandinavien;0;false;0;2;1;58;2;866,88;9,17
1;59;1;Set A;Die Nachfolger Mohammeds bezeichnet man als Kalifen.;1;true;1;5;1;59;2;880,77;3
1;60;1;Set B;Die Küstenseeschwalbe fliegt jedes Jahr fast 40000 km;0;true;1;4;1;60;2;888,45;3,02
2;1;1;Set B;Der Allradantrieb wurde 1938 in England erfunden.;0;false;1;1;2;1;2;307,24;4
2;2;1;Set B;Die Küstenseeschwalbe fliegt jedes Jahr fast 40000 km;0;true;1;1;2;2;2;315,07;3,69
2;3;1;Set A;Der Mond passt vierzigmal in die Erdkugel.;1;false;0;2;2;3;2;321,98;4,44
2;4;1;Set B;In Uganda ist die Amtssprache englisch.;0;true;1;3;2;4;2;330,04;2,23
2;5;1;Set B;Der Ladogasee ist der größte See Europa;0;true;0;1;2;5;2;335,27;3,79
2;6;1;Set B;Der Erfinder des Bikinis war ursprünglich Schuhdesigner;0;false;1;3;2;6;2;341,94;2,55
2;7;1;Set A;Die Insel Ösel gehört zu Dänema;1;false;1;1;2;7;2;347,15;2,94
2;8;1;Set A;Die Schwarzerle zählt zu den Buchengewächse;1;false;1;3;2;8;2;353,12;3,18
2;9;1;Set B;Die kanadische Sängerin Celine Dion hat acht Geschwister;0;false;0;1;2;9;2;358,74;2,65
2;10;1;Set A;Die Nachfolger Mohammeds bezeichnet man als Kalifen.;1;true;1;6;2;10;2;364,5;2,26
2;11;1;Set A;Der nicht sichtbare Teil des Eisbergs heißt Eisbergkiel;1;true;1;5;2;11;2;371,15;2,35
2;12;1;Set B;Auf indischen Rupienscheinen sind 12 verschiedene Schriften.;0;false;1;2;2;12;2;376,2;3,02
2;13;1;Set B;Der Speisesaal eines Klosters wird Refektorium genannt.;0;true;0;2;2;13;2;382;3,61
2;14;1;Set A;Das Lieblingsgetränk von Benedikt XVI. ist Fanta;1;true;1;3;2;14;2;388,42;2,67
2;15;1;Set B;Erdbeeren enthalten mehr Vitamin C als Orangen.;0;true;0;2;2;15;2;393,51;2,82
2;16;1;Set A;Wenn Nilpferde sich aufregen, färbt sich ihr Schweiß gr�;1;false;1;3;2;16;2;399,19;1,66
2;17;1;Set A;Lybien ist das einzige Land mit einer einfarbigen Flagge.;1;true;1;3;2;17;2;403,51;2,6
2;18;1;Set A;Der Maler Marc Chagall wurde 1887 in Russland geboren.;1;true;1;2;2;18;2;408,51;3,57
2;19;1;Set A;Schlangen sind taub, da kein Außenohr vorhanden ist;1;true;0;3;2;19;2;414,74;2,7
2;20;1;Set B;Einen kastrierten Esel nennt man auch Macker oder Knilch.;0;true;0;1;2;20;2;420,33;2,91
2;21;1;Set B;Die erste elektronische Mail wurde im Jahr 1973 versendet.;0;false;1;3;2;21;2;426,09;2,88
2;22;1;Set B;Magnesiummangel kann zu Hautproblemen führen;0;false;1;3;2;22;2;431,52;2,42
2;23;1;Set B;Sheryl Crow war Hürdenläuferi;0;true;1;1;2;23;2;436,43;3,45
2;24;1;Set A;Patagonien ist ein Landschaftsabschnitt in Asien.;1;false;0;3;2;24;2;442,58;3,53
2;25;1;Set B;Für Descartes wies Schielen bei Frauen auf Frigidität hi;0;false;1;3;2;25;2;448,94;4,48
2;26;1;Set A;Die Augen eines Straußes sind größer als sein Gehi;1;true;1;4;2;26;2;456,27;3,17
2;27;1;Set A;Delphine schwimmen höchstens 54 Kilometer pro Stunde;1;true;0;2;2;27;2;462,12;3,04
2;28;1;Set B;Schären sind Talgletscher in Skandinavien;0;false;1;2;2;28;2;467,66;4,56
2;29;1;Set B;Eine Bienenkönigin legt durchschnittlich 500 Eier am Tag;0;false;1;3;2;29;2;474,87;2,6
2;30;1;Set B;Albany ist die Hauptstadt des US-Bundesstaates New Jersey.;0;false;0;2;2;30;2;480,13;3,89
2;31;1;Set A;Das Jojo war ursprünglich eine philippinische Jagdwaffe;1;true;1;3;2;31;2;486,43;2,3
2;32;1;Set A;Der höchste nordamerikanische Berg liegt in Wyoming;1;false;1;2;2;32;2;491;3,33
2;33;1;Set A;Die Slowakei gehört nicht zu den NATO-Staaten;1;false;1;4;2;33;2;496,85;2,1
2;34;1;Set A;Die Azoren gehören zu Spanien;1;false;1;2;2;34;2;501,38;1,85
2;35;1;Set B;Die längsten Opern stammen von Gioacchino Rossini;0;false;1;2;2;35;2;505,65;3,48
2;36;1;Set A;Morpheus ist der griechische Gott der Träume;1;true;1;4;2;36;2;511,47;4,49
2;37;1;Set A;Unsere Atmosphäre enthält rund 0,00025 % Ozo;1;false;1;2;2;37;2;518,74;1,37
2;38;1;Set A;French Fries' wurden in England erfunden.;1;false;1;4;2;38;2;523,46;1,91
2;39;1;Set B;Seoul bedeutet auf koreanisch 'Die Hauptstadt'.;0;true;0;1;2;39;2;527,72;4,57
2;40;1;Set A;Die Norfolkinseln im Pazifik gehören zu Neuseeland;1;false;1;4;2;40;2;535,04;3,4
2;41;1;Set A;Austern wechseln je nach Jahreszeit ihr Geschlecht.;1;false;1;4;2;41;2;541,17;1,57
2;42;1;Set B;Alexander Graham Bell erfand das Tragflügelboot;0;true;0;3;2;42;2;545,29;3,53
2;43;1;Set A;Freddie Mercurys richtiger Name lautete Farrokh Bulsara.;1;true;0;2;2;43;2;551,27;4,9
2;44;1;Set B;Tequila wird aus dem Herzen der roten Agave gewonnen.;0;false;0;3;2;44;2;559,05;4,25
2;45;1;Set B;Winston Churchill erhielt den Nobelpreis für Literatur;0;true;1;6;2;45;2;566,27;2,21
2;46;1;Set A;Der Basenji ist der einzige Hund, der nicht bellt.;1;true;1;2;2;46;2;571,27;2,83
2;47;1;Set A;Brad Pitt heißt eigentlich 'Henry Bradley Pitt';1;false;1;4;2;47;2;576,48;1,75
2;48;1;Set A;Der griechische Gott Apollon ist der Schutzherr der Küste;1;true;0;4;2;48;2;580,71;5,06
2;49;1;Set A;Manama ist die Hauptstadt Bahrains.;1;true;0;2;2;49;2;588,4;4,44
2;50;1;Set B;In den USA gibt es die meisten Milliardäre auf der Welt;0;false;0;3;2;50;2;595,79;4,63
2;51;1;Set B;Nur Menschen und Affen besitzen einen Bauchnabel.;0;true;0;1;2;51;2;602,9;6,1
2;52;1;Set B;Der Schwertwal gehört zur Gattung der Delfine;0;true;0;3;2;52;2;611,93;3,08
2;53;1;Set A;Die Angst vor dem Küssen nennt man Philemaphobie;1;true;1;3;2;53;2;617,34;3,89
2;54;1;Set B;Das Finn-Dingi ist ein Einmannboot beim Sportsegeln.;0;true;1;4;2;54;2;623,78;2,91
2;55;1;Set B;Das Zwerghörnchen ist das kleinste Säugetier Europa;0;false;1;2;2;55;2;629,36;2,01
2;56;1;Set B;Der Goliathfrosch kann sogar kleine Krokodile verspeisen.;0;false;1;5;2;56;2;633,81;3,01
2;57;1;Set B;Bob Dylan arbeitet nebenberuflich als Winzer.;0;true;0;2;2;57;2;639,59;3,99
2;58;1;Set B;Island ist geologisch das jüngste Inselland der Welt;0;true;1;1;2;58;2;645,85;3,55
2;59;1;Set A;Bolivien ist der kleinste Binnenstaat Südamerikas;1;false;0;4;2;59;2;651,95;3,08
2;60;1;Set A;Es gibt 56 verschiedene Arten eine Krawatte zu binden.;1;false;1;5;2;60;2;657,81;1,65
4;1;1;Set A;Die Augen eines Straußes sind größer als sein Gehi;1;true;1;6;4;1;2;418,47;2,21
4;2;1;Set C;Sambia hieß früher Nordrhodesie;0;true;0;3;4;2;2;424,04;3
4;3;1;Set A;Die Nachfolger Mohammeds bezeichnet man als Kalifen.;1;true;1;6;4;3;2;430,4;2,77
4;4;1;Set C;Ein menschliches Haar wächst jährlich ca. 85 m;0;true;0;3;4;4;2;437,88;3,57
4;5;1;Set C;Nauru ist die kleinste souveräne Republik der Erde;0;true;1;2;4;5;2;445,4;5,78
4;6;1;Set C;Hernando Cortéz eroberte Mexiko;0;true;0;2;4;6;2;458,14;3,76
4;7;1;Set C;Die Wüste Dahna liegt in Saudi-Arabien;0;true;1;4;4;7;2;465,13;4,22
4;8;1;Set C;Lachse können bis zu 20 Jahre alt werden;0;false;1;5;4;8;2;472,65;2,88
4;9;1;Set A;Unsere Atmosphäre enthält rund 0,00025 % Ozo;1;false;1;6;4;9;2;478,59;2,17
4;10;1;Set C;Ein neugeborenes Panda-Baby ist kleiner als eine Maus.;0;true;1;3;4;10;2;483,57;3,1
4;11;1;Set A;Brad Pitt heißt eigentlich 'Henry Bradley Pitt';1;false;1;6;4;11;2;489,42;2,3
4;12;1;Set A;French Fries' wurden in England erfunden.;1;false;1;4;4;12;2;494,46;4,16
4;13;1;Set A;Morpheus ist der griechische Gott der Träume;1;true;1;6;4;13;2;503,4;2,81
4;14;1;Set C;Spanholz besteht hauptsächlich aus Birkenholz;0;true;0;4;4;14;2;508,94;3,07
4;15;1;Set A;Die Schwarzerle zählt zu den Buchengewächse;1;false;1;5;4;15;2;515,51;2,66
4;16;1;Set C;Die Volksrepublik China wurde 1947 gegründet;0;false;0;3;4;16;2;520,82;2,59
4;17;1;Set A;Der höchste nordamerikanische Berg liegt in Wyoming;1;false;1;5;4;17;2;526,48;2,44
4;18;1;Set C;Goethe schrieb genau 64 Jahre lang an seinem 'Faust'.;0;true;0;4;4;18;2;531,58;3,75
4;19;1;Set A;Der Maler Marc Chagall wurde 1887 in Russland geboren.;1;true;1;4;4;19;2;541,89;4,12
4;20;1;Set A;Es gibt 56 verschiedene Arten eine Krawatte zu binden.;1;false;1;3;4;20;2;548,44;5,98
4;21;1;Set C;Der Name 'Wowereit' heißt auf Litauisch Eichhörnche;0;true;0;1;4;21;2;558,57;5,88
4;22;1;Set A;Der griechische Gott Apollon ist der Schutzherr der Küste;1;true;1;4;4;22;2;567,75;3,91
4;23;1;Set A;Die Norfolkinseln im Pazifik gehören zu Neuseeland;1;false;1;6;4;23;2;574,38;2,88
4;24;1;Set C;Der mitteleuropäische Feldschwirl ist kein Zugvogel;0;false;1;1;4;24;2;580,09;4,39
4;25;1;Set A;Manama ist die Hauptstadt Bahrains.;1;true;1;5;4;25;2;587,23;2,64
4;26;1;Set C;In Angola ist Spanisch die offizielle Amtssprache.;0;false;1;5;4;26;2;592,65;5,68
4;27;1;Set A;Delphine schwimmen höchstens 54 Kilometer pro Stunde;1;true;1;6;4;27;2;600,93;1,93
4;28;1;Set C;Jean-Jaques Rousseau war alleinerziehender Vater.;0;false;1;1;4;28;2;605,29;3,15
4;29;1;Set A;Bolivien ist der kleinste Binnenstaat Südamerikas;1;false;1;2;4;29;2;610,82;6,75
4;30;1;Set C;Kleinohrigel haben keine Stacheln.;0;false;0;3;4;30;2;620,37;3,13
4;31;1;Set A;Wenn Nilpferde sich aufregen, färbt sich ihr Schweiß gr�;1;false;1;6;4;31;2;626,79;2,45
4;32;1;Set C;In USA wird kein Teletext ausgestrahlt.;0;true;0;3;4;32;2;631,77;2,92
4;33;1;Set C;Balsaholz ist die schwerste aller Holzarten.;0;false;0;2;4;33;2;638,52;8,88
4;34;1;Set C;Wladimir Putin wurde in Murmansk geboren.;0;false;1;1;4;34;2;650,14;3,09
4;35;1;Set A;Die Azoren gehören zu Spanien;1;false;1;4;4;35;2;655,66;1,85
4;36;1;Set A;Schlangen sind taub, da kein Außenohr vorhanden ist;1;true;1;6;4;36;2;660,04;1,96
4;37;1;Set A;Patagonien ist ein Landschaftsabschnitt in Asien.;1;false;0;4;4;37;2;664,44;2,99
4;38;1;Set C;Beim Rugby gibt es 30 Spieler.;0;true;1;1;4;38;2;670,53;4,65
4;39;1;Set C;Der Reißverschluss wurde in Norwegen erfunden;0;false;0;3;4;39;2;678,57;3,39
4;40;1;Set A;Das Jojo war ursprünglich eine philippinische Jagdwaffe;1;true;1;6;4;40;2;684,54;1,96
4;41;1;Set C;Der Wassergehalt bei Beeren beträgt 90%;0;true;0;3;4;41;2;689,25;5,77
4;42;1;Set C;Frauen bekommen häufiger einen Schluckauf als Männe;0;false;0;3;4;42;2;699,33;3,5
4;43;1;Set A;Das Lieblingsgetränk von Benedikt XVI. ist Fanta;1;true;1;6;4;43;2;706,59;3,3
4;44;1;Set A;Die Slowakei gehört nicht zu den NATO-Staaten;1;false;0;2;4;44;2;712,46;8,34
4;45;1;Set C;Keime sterben auf Holz schneller ab als auf Plastik.;0;true;0;1;4;45;2;723,54;3,23
4;46;1;Set A;Austern wechseln je nach Jahreszeit ihr Geschlecht.;1;false;1;6;4;46;2;729,85;2,58
4;47;1;Set C;Blaue Augen werden im Alter immer heller.;0;true;0;1;4;47;2;735,07;3,31
4;48;1;Set C;Die Ostgoten zählten zum Stamm der Normannen;0;false;1;2;4;48;2;740,9;3,56
4;49;1;Set A;Die Angst vor dem Küssen nennt man Philemaphobie;1;true;1;6;4;49;2;747,18;3,15
4;50;1;Set C;Kokosnüsse haben einen höheren Fettanteil als Pistazie;0;false;0;3;4;50;2;752,82;6,05
4;51;1;Set C;Ein Nilpferd wiegt bei seiner Geburt ca. 150kg.;0;false;1;5;4;51;2;761,47;2,74
4;52;1;Set A;Lybien ist das einzige Land mit einer einfarbigen Flagge.;1;true;1;6;4;52;2;766,75;2,23
4;53;1;Set A;Freddie Mercurys richtiger Name lautete Farrokh Bulsara.;1;true;1;6;4;53;2;771,53;2,6
4;54;1;Set A;Der Mond passt vierzigmal in die Erdkugel.;1;false;1;3;4;54;2;776,74;5,16
4;55;1;Set A;Der nicht sichtbare Teil des Eisbergs heißt Eisbergkiel;1;true;1;6;4;55;2;784,44;2,29
4;56;1;Set C;Zuckerwatte wurde von einem Flugzeugpiloten erfunden.;0;false;0;1;4;56;2;789,17;2,98
4;57;1;Set C;Tennis wurde in englischen Klöstern erfunden;0;false;1;3;4;57;2;794,9;3,38
4;58;1;Set A;Die Insel Ösel gehört zu Dänema;1;false;1;5;4;58;2;801,66;2,02
4;59;1;Set A;Der Basenji ist der einzige Hund, der nicht bellt.;1;true;1;6;4;59;2;806,19;2,03
4;60;1;Set C;Weibliche Taranteln töten circa 99% ihrer Nachkommen;0;true;0;2;4;60;2;810,85;3,35
5;1;1;Set D;Das Domino-Spiel besteht aus 28 Steinen.;0;true;1;3;5;1;2;317,04;6,61
5;2;1;Set D;Der Bereich zwischen den Augenbrauen heißt Glabella;0;true;1;4;5;2;2;327,76;3,21
5;3;1;Set A;Das Jojo war ursprünglich eine philippinische Jagdwaffe;1;true;1;3;5;3;2;334,24;3,04
5;4;1;Set D;Der Nacktmull ist das schmerzempfindlichste Tier der Welt.;0;false;1;2;5;4;2;342,09;3,15
5;5;1;Set A;Austern wechseln je nach Jahreszeit ihr Geschlecht.;1;false;1;3;5;5;2;349,41;3,39
5;6;1;Set D;Die Wüste Gobi ist eine Felswüst;0;false;1;4;5;6;2;356,58;2,67
5;7;1;Set A;Der Mond passt vierzigmal in die Erdkugel.;1;false;1;3;5;7;2;362;3,37
5;8;1;Set A;Bolivien ist der kleinste Binnenstaat Südamerikas;1;false;1;4;5;8;2;368,95;3,82
5;9;1;Set D;Der Film 'Pretty Woman' gewann keinen Oscar. ;0;true;1;2;5;9;2;376,06;2,49
5;10;1;Set D;Tom Cruise ist Legastheniker.;0;true;1;3;5;10;2;384,11;5,41
5;11;1;Set D;Giséle Bündchen hat einen Zwillingsbrude;0;false;1;4;5;11;2;393,29;3,26
5;12;1;Set A;Die Nachfolger Mohammeds bezeichnet man als Kalifen.;1;true;1;5;5;12;2;399,53;2,35
5;13;1;Set D;Seepferdchen gehören zur Gattung der Fische;0;true;1;4;5;13;2;404,63;7,05
5;14;1;Set A;Der nicht sichtbare Teil des Eisbergs heißt Eisbergkiel;1;true;1;5;5;14;2;414,57;2,45
5;15;1;Set A;Lybien ist das einzige Land mit einer einfarbigen Flagge.;1;true;1;5;5;15;2;420,19;3,5
5;16;1;Set A;Der höchste nordamerikanische Berg liegt in Wyoming;1;false;1;5;5;16;2;426,62;4,59
5;17;1;Set D;Die Sektsteuer wurde von Friedrich Ebert eingeführt;0;false;0;4;5;17;2;434,01;5,29
5;18;1;Set D;Ein Biber kann in einem Jahr über 200 Bäume fäll;0;true;1;5;5;18;2;443,18;2,87
5;19;1;Set A;Die Augen eines Straußes sind größer als sein Gehi;1;true;1;5;5;19;2;448,98;2,1
5;20;1;Set D;Spanien ist ein Gründungsmitglied der UNO;0;false;0;2;5;20;2;453,98;4,87
5;21;1;Set D;Frauen blinzeln fast doppelt so viel wie Männer;0;true;1;5;5;21;2;462,33;1,7
5;22;1;Set A;Brad Pitt heißt eigentlich 'Henry Bradley Pitt';1;false;1;5;5;22;2;467;2,23
5;23;1;Set D;Minerva ist die römische Göttin der Weishei;0;true;1;6;5;23;2;472,73;2
5;24;1;Set D;Die Luftpumpe ist eine französische Erfindung;0;false;1;5;5;24;2;477,12;3,6
5;25;1;Set A;Schlangen sind taub, da kein Außenohr vorhanden ist;1;true;1;4;5;25;2;483,95;2,8
5;26;1;Set A;Die Schwarzerle zählt zu den Buchengewächse;1;false;1;4;5;26;2;489,9;2,89
5;27;1;Set A;Die Norfolkinseln im Pazifik gehören zu Neuseeland;1;false;1;5;5;27;2;495,59;2,37
5;28;1;Set A;French Fries' wurden in England erfunden.;1;false;1;6;5;28;2;501,14;1,65
5;29;1;Set D;Alle Uhren im Film 'Pulp Fiction' stehen auf 4.10 Uhr.;0;false;1;4;5;29;2;505,46;3,32
5;30;1;Set A;Der griechische Gott Apollon ist der Schutzherr der Küste;1;true;1;6;5;30;2;514,53;2,62
5;31;1;Set A;Die Angst vor dem Küssen nennt man Philemaphobie;1;true;1;4;5;31;2;519,95;3,12
5;32;1;Set A;Delphine schwimmen höchstens 54 Kilometer pro Stunde;1;true;1;3;5;32;2;525,84;2,1
5;33;1;Set A;Morpheus ist der griechische Gott der Träume;1;true;1;6;5;33;2;530,6;1,67
5;34;1;Set D;Schweine können keinen Sonnenbrand bekommen;0;false;0;2;5;34;2;535,04;8,9
5;35;1;Set A;Unsere Atmosphäre enthält rund 0,00025 % Ozo;1;false;1;5;5;35;2;547,56;3,35
5;36;1;Set A;Der Basenji ist der einzige Hund, der nicht bellt.;1;true;0;2;5;36;2;553,95;4,9
5;37;1;Set D;Volleyball wurde in Florida erfunden.;0;false;1;4;5;37;2;561,97;3,37
5;38;1;Set A;Die Slowakei gehört nicht zu den NATO-Staaten;1;false;1;4;5;38;2;568,13;2,53
5;39;1;Set D;Sumatra ist die viertgrößte Insel der Wel;0;false;1;3;5;39;2;573,51;4,12
5;40;1;Set A;Freddie Mercurys richtiger Name lautete Farrokh Bulsara.;1;true;1;5;5;40;2;581,05;2,41
5;41;1;Set D;Nicole Kidman hat panische Angst vor Schmetterlingen.;0;true;1;5;5;41;2;586,13;3,2
5;42;1;Set D;Die Erde wird in 340 Längenkreise unterteilt;0;true;0;3;5;42;2;592,08;8,21
5;43;1;Set D;Robbie Williams heißt mit Zweitnamen 'Maximilian';0;true;0;3;5;43;2;604,01;3,15
5;44;1;Set D;Der Javagraben ist die tiefste Meerestiefe der Welt.;0;false;0;6;5;44;2;610,17;3,04
5;45;1;Set D;Bei den italienischen Wahlen 2008 traten 62 Parteien an.;0;false;1;4;5;45;2;615,88;3,55
5;46;1;Set D;Das Capybara ist das größte aller Beuteltier;0;false;1;1;5;46;2;622,39;4,88
5;47;1;Set A;Patagonien ist ein Landschaftsabschnitt in Asien.;1;false;0;2;5;47;2;629,96;9,57
5;48;1;Set A;Es gibt 56 verschiedene Arten eine Krawatte zu binden.;1;false;1;4;5;48;2;642,99;3,23
5;49;1;Set D;Das türkische Bad wurde in Griechenland erfunden;0;false;1;3;5;49;2;649,25;3,21
5;50;1;Set A;Der Maler Marc Chagall wurde 1887 in Russland geboren.;1;true;1;2;5;50;2;656,36;5,27
5;51;1;Set D;Das meiste Gold wird derzeit in Südafrika geförder;0;true;1;4;5;51;2;664,3;2,27
5;52;1;Set A;Wenn Nilpferde sich aufregen, färbt sich ihr Schweiß gr�;1;false;1;1;5;52;2;669,25;2,5
5;53;1;Set A;Das Lieblingsgetränk von Benedikt XVI. ist Fanta;1;true;1;5;5;53;2;676,17;1,83
5;54;1;Set A;Manama ist die Hauptstadt Bahrains.;1;true;0;2;5;54;2;680,69;4,8
5;55;1;Set D;Die Tochter von Sydney Poitier heißt Sydney Poitier;0;true;1;1;5;55;2;688,1;5,28
5;56;1;Set D;Ein Menschenfloh kann 20cm hoch springen.;0;true;1;5;5;56;2;696,11;3,17
5;57;1;Set D;Ein Schwan trägt ca. 50.000 Federn am Körpe;0;false;1;2;5;57;2;701,82;3,82
5;58;1;Set A;Die Azoren gehören zu Spanien;1;false;0;1;5;58;2;708,67;3,12
5;59;1;Set A;Die Insel Ösel gehört zu Dänema;1;false;1;2;5;59;2;714,89;2,8
5;60;1;Set D;Die Insektenkunde wird auch Entomologie genannt.;0;true;0;1;5;60;2;720,38;8,13
6;1;1;Set D;Der Bereich zwischen den Augenbrauen heißt Glabella;0;true;1;1;6;1;2;447,64;5,98
6;2;1;Set D;Alle Uhren im Film 'Pulp Fiction' stehen auf 4.10 Uhr.;0;false;0;1;6;2;2;458,84;5,92
